msnbot-157-55-39-36.search.msn.com - - [07/Feb/2019:02:53:27 -0500] darwins.ca "GET /robots.txt HTTP/1.1" 404 68
localhost.darwinsys.com - - [07/Feb/2019:07:11:22 -0500] darwinsys.com "GET /deployed.html HTTP/1.1" 304 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:22 -0500] darwinsys.com "GET /deployed.html HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:22 -0500] www.darwinsys.com "GET /flutter/ HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:22 -0500] darwinsys.com "GET /deployed.html HTTP/1.1" 304 -
209.133.111.211 - - [07/Feb/2019:07:11:22 -0500] theories.darwinsys.com "GET /robots.txt HTTP/1.1" 404 68
localhost.darwinsys.com - - [07/Feb/2019:07:11:22 -0500] cjp.darwinsys.com "GET / HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:22 -0500] www.darwinsys.com "GET /favicon.ico HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:22 -0500] androidcookbook.com "GET /favicon.ico HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:22 -0500] cjp.darwinsys.com "GET / HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:24 -0500] www.darwinsys.com "GET / HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:24 -0500] darwinsys.com "GET / HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:24 -0500] darwinsys.com "GET / HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:24 -0500] www.darwinsys.com "GET / HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:26 -0500] www.darwinsys.com "GET /file/ HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:26 -0500] javacook.darwinsys.com "GET / HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:26 -0500] javacook.darwinsys.com "GET / HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:26 -0500] pageunit.darwinsys.com "GET / HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:26 -0500] pageunit.darwinsys.com "GET / HTTP/1.1" 200 -
crawl838.us.archive.org - - [07/Feb/2019:07:11:26 -0500] ticketmanor.com "GET /css/img/about/user_bg.png HTTP/1.0" 404 68
localhost.darwinsys.com - - [07/Feb/2019:07:11:27 -0500] theories.darwinsys.com "GET / HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:28 -0500] theories.darwinsys.com "GET / HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:32 -0500] darwinsys.com "GET /travel/ HTTP/1.1" 200 13926
localhost.darwinsys.com - - [07/Feb/2019:07:11:32 -0500] darwinsys.com "GET /tmp/HA-StLawrence-Aug2017.html HTTP/1.1" 200 37153
localhost.darwinsys.com - - [07/Feb/2019:07:11:32 -0500] darwinsys.com "GET /travel/ HTTP/1.1" 200 13926
localhost.darwinsys.com - - [07/Feb/2019:07:11:33 -0500] darwinsys.com "GET /tmp/HA-StLawrence-Aug2017.html HTTP/1.1" 200 37153
localhost.darwinsys.com - - [07/Feb/2019:07:11:38 -0500] androidcookbook.com "GET /favicon.ico HTTP/1.1" 200 2294
crawl-66-249-73-222.googlebot.com - - [07/Feb/2019:07:11:42 -0500] androidcookbook.com "GET /Recipe.seam;jsessionid=9A77FA007453433B9F15F792396B744F?recipeId=2080&recipeFrom=ViewTOC HTTP/1.1" 200 11946
crawl-66-249-73-220.googlebot.com - - [07/Feb/2019:07:11:42 -0500] androidcookbook.com "GET /Recipe.seam;jsessionid=3CF6E2E1AC37AB13D125FAED95565B2B?recipeId=1991 HTTP/1.1" 200 13202
localhost.darwinsys.com - - [07/Feb/2019:07:11:42 -0500] androidcookbook.com "GET /Recipe.seam?recipeId=4426 HTTP/1.1" 200 -
localhost.darwinsys.com - - [07/Feb/2019:07:11:42 -0500] androidcookbook.com "GET /Recipe.seam?recipeId=4426 HTTP/1.1" 200 -
static.66.144.99.88.clients.your-server.de - - [07/Feb/2019:07:11:44 -0500] androidcookbook.com "GET / HTTP/1.1" 200 29650
37.49.224.105 - - [07/Feb/2019:07:12:00 -0500] www.darwinsys.com "GET / HTTP/1.1" 200 47357
37.49.224.105 - - [07/Feb/2019:07:12:01 -0500] www.darwinsys.com "GET /Privacy.seam HTTP/1.1" 404 986
37.49.224.105 - - [07/Feb/2019:07:12:01 -0500] www.darwinsys.com "GET /TandC.seam HTTP/1.1" 404 986
37.49.224.105 - - [07/Feb/2019:07:12:02 -0500] www.darwinsys.com "GET /blogsIread.html HTTP/1.1" 200 816
37.49.224.105 - - [07/Feb/2019:07:12:02 -0500] www.darwinsys.com "GET /news.web HTTP/1.1" 200 3240
37.49.224.105 - - [07/Feb/2019:07:12:02 -0500] www.darwinsys.com "GET /privacy.html HTTP/1.1" 200 1821
37.49.224.105 - - [07/Feb/2019:07:12:02 -0500] www.darwinsys.com "GET /speaking.web HTTP/1.1" 200 47698
37.49.224.105 - - [07/Feb/2019:07:12:03 -0500] www.darwinsys.com "GET /toastmasters.html HTTP/1.1" 200 1352
37.49.224.105 - - [07/Feb/2019:07:12:03 -0500] www.darwinsys.com "GET /tjug.ca HTTP/1.1" 404 986
37.49.224.105 - - [07/Feb/2019:07:12:03 -0500] www.darwinsys.com "GET /www.CardenNatureFestival.ca HTTP/1.1" 404 986
37.49.224.105 - - [07/Feb/2019:07:12:03 -0500] www.darwinsys.com "GET /3dprinting HTTP/1.1" 302 -
37.49.224.105 - - [07/Feb/2019:07:12:04 -0500] www.darwinsys.com "GET /3dprinting/ HTTP/1.1" 200 10471
37.49.224.105 - - [07/Feb/2019:07:12:04 -0500] www.darwinsys.com "GET /acc HTTP/1.1" 302 -
37.49.224.105 - - [07/Feb/2019:07:12:04 -0500] www.darwinsys.com "GET /acc/ HTTP/1.1" 200 7760
37.49.224.105 - - [07/Feb/2019:07:12:04 -0500] www.darwinsys.com "GET /ads/amazing.png HTTP/1.1" 200 33545
37.49.224.105 - - [07/Feb/2019:07:12:05 -0500] www.darwinsys.com "GET /ads/bsdcan-300x250.png HTTP/1.1" 200 58101
37.49.224.105 - - [07/Feb/2019:07:12:06 -0500] www.darwinsys.com "GET /andrej HTTP/1.1" 302 -
37.49.224.105 - - [07/Feb/2019:07:12:06 -0500] www.darwinsys.com "GET /andrej/ HTTP/1.1" 200 15754
37.49.224.105 - - [07/Feb/2019:07:12:06 -0500] www.darwinsys.com "GET /android HTTP/1.1" 302 -
